cpd08384	C16H13N2O2Cl	C16H13ClN2O2
cpd12241	C6H8O7R	C6H9O7R
cpd17418	C10H18O3S	C10H17O3S
cpd17144	C19H16O3	C19H15O3
cpd17413	C10H18O5S	C10H16O5S
cpd17410	C8H14O3S	C8H13O3S
cpd15563	C18H30NO17P2R3Se	C13H22NO11PSeR2(C5H8O6PR)n
cpd17416	C11H20O5S	C11H18O5S
cpd15601	C17H31O2	unknown
cpd17414	C9H16O3S	C9H15O3S
cpd17143	C19H15ClO4	C19H14ClO4
cpd07922	C8N2Cl4	C8Cl4N2
cpd17388	C16H19Br2N5O4	C16H20Br2N5O4
cpd07920	C19H15N2O4F	C19H15FN2O4
cpd07926	C7H5NSCl2	C7H5Cl2NS
cpd07925	C7H3NCl2	C7H3Cl2N
cpd01352	C55H90O	C56H92
cpd01353	C20H11N3O8	C20H12N3O8
cpd07929	C12H5OCl5	C12H5Cl5O
cpd17381	C16H18O9	C16H17O9
cpd01426	C19H23NO4	C19H24NO4
cpd17692	C21H39N7O13	C21H42N7O13
cpd11609	H2NR	noformula
cpd07749	C16H21NO4	C16H22NO4
